자치구,14'cctv,15'cctv,16'cctv,17'cctv,18'cctv,19'cctv,20'cctv,21'cctv,22'cctv
종로구,103,160,130,144,150,67,233,88,207
중구,77,236,240,372,386,155,361,403,137
용산구,68,83,295,491,115,322,623,422,464
성동구,110,366,281,942,457,643,485,367,232
광진구,176,95,40,666,460,712,190,738,273
동대문구,5,72,774,702,201,218,229,229,317
중랑구,104,145,153,170,215,1074,976,507,294
성북구,229,322,594,811,867,714,253,407,338
강북구,16,68,210,4,375,963,569,298,797
도봉구,54,27,91,116,183,195,179,592,591
노원구,75,509,329,171,216,324,387,215,144
은평구,332,329,555,403,635,"1,057",288,471,522
서대문구,114,109,277,416,246,325,441,331,174
마포구,109,170,458,376,368,494,298,177,117
양천구,129,243,423,564,833,311,352,374,292
강서구,200,192,167,507,259,455,363,441,596
구로구,160,263,351,559,542,789,652,689,341
금천구,43,350,132,196,539,366,513,207,304
영등포구,295,360,285,422,803,153,1357,329,450
동작구,478,127,255,270,299,311,433,30,373
관악구,277,448,607,675,663,889,404,549,135
서초구,70,559,518,1054,426,344,422,566,876
강남구,573,826,1295,989,744,790,923,514,468
송파구,74,183,126,227,526,1050,237,151,431
강동구,56,174,226,351,379,362,635,301,429
