자치구,14'지가변동평균,15'지가변동평균,16'지가변동평균,17'지가변동평균,18'지가변동평균,19'지가변동평균,20'지가변동평균,21'지가변동평균,22'지가변동평균
종로구,2.41,1.903,2.199,3.284,5.811,4.457,4.316,5.006,3.045
중구,2.563,1.806,2.227,3.244,5.327,4.763,4.551,4.882,2.366
용산구,1.491,1.501,3.133,5.225,8.598,5.86,4.854,5.507,3.255
성동구,1.848,2.218,2.916,5.221,7.377,5.882,5.129,6.173,4.528
광진구,1.822,2.551,3.182,4.343,5.679,5.324,4.398,5.037,2.581
동대문구,1.361,2.254,2.574,3.995,6.241,5.327,4.394,5.237,2.736
중랑구,1.867,2.531,2.742,3.73,4.504,4.239,3.878,4.339,2.203
성북구,1.425,2.191,2.398,3.124,5.723,4.97,4.479,4.777,1.946
강북구,1.886,1.986,2.395,3.697,5.131,4.462,3.786,4.181,1.734
도봉구,1.66,2.191,2.609,3.416,4.387,3.827,3.258,4.114,1.779
노원구,1.427,2.468,2.885,4.35,4.638,4.361,4.092,4.234,1.755
은평구,2.515,2.082,2.266,3.315,5.407,4.589,4.412,4.8,1.971
서대문구,2.175,2.566,2.647,3.447,5.354,4.675,4.415,4.699,2.099
마포구,2.838,3.312,3.677,5.322,8.112,5.402,4.792,5.318,3.026
양천구,2.31,2.42,2.499,3.793,5.078,5.059,4.436,4.664,2.503
강서구,2.224,2.863,3.244,5.476,5.948,5.028,4.438,4.962,2.732
구로구,1.86,2.362,2.439,3.723,5.291,4.501,4.046,4.046,2.328
금천구,1.859,2.531,2.411,3.913,4.691,5.067,4.337,4.246,3.125
영등포구,1.838,2.177,2.376,4.024,6.303,5.595,4.766,5.423,3.328
동작구,1.853,2.369,2.854,4.481,8.121,5.536,4.931,4.758,2.457
관악구,1.675,2.429,2.674,4.045,4.757,4.649,4.344,5.147,2.643
서초구,3.782,3.037,3.102,4.396,6.552,5.567,5.182,5.946,3.982
강남구,4.216,3.804,3.821,4.94,6.423,6.052,5.518,6.11,3.701
송파구,3.644,3.045,3.195,4.601,5.943,5.334,5.404,5.692,3.655
강동구,2.194,2.778,3.127,4.116,5.694,5.698,4.653,5.09,2.648
