자치구,14'발생,14'검거율,15'발생,15'검거율,16'발생,16'검거율,17'발생,17'검거율,18'발생,18'검거율,19'발생,19'검거율,20'발생,20'검거율,21'발생,21'검거율,22'발생,22'검거율,14'cctv,15'cctv,16'cctv,17'cctv,18'cctv,19'cctv,20'cctv,21'cctv,22'cctv,14'인구,14'인구밀도 ,15'인구,15'인구밀도,16'인구,16'인구밀도,17'인구,17'인구밀도,18'인구,18'인구밀도,19'인구,19'인구밀도,20'인구,20'인구밀도,21'인구,21'인구밀도,22'인구,22'인구밀도,14'파출소현황,15'파출소현황,16'파출소현황,17'파출소현황,18'파출소현황,19'파출소현황,20'파출소현황,21'파출소현황,22'파출소현황,14'경찰관,15'경찰관,16'경찰관,17'경찰관,18'경찰관,19'경찰관,20'경찰관,21'경찰관,22'경찰관,14'행복지수,15'행복지수,16'행복지수,17'행복지수,18'행복지수,19'행복지수,20'행복지수,21'행복지수,22'행복지수,14'월간 음주율,15'월간 음주율,16'월간 음주율,17'월간 음주율,18'월간 음주율,19'월간 음주율,20'월간 음주율,21'월간 음주율,22'월간 음주율,14'우울감 경험률,15'우울감 경험률,16'우울감 경험률,17'우울감 경험률,18'우울감 경험률,19'우울감 경험률,20'우울감 경험률,21'우울감 경험률,22'우울감 경험률
종로구,5021,0.918143796,4705,0.941551541,4459,0.96389325,4057,1.09366527,3690,1.060433604,3846,1.070462819,3102,1.077691812,2712,1.015855457,3138,1.04652645,103,160,130,144,150,67,233,88,207,165344,6914,163822,6851,161922,6771,164257,6869,163026,6817,161869,6769,158996,6649,153789,6431,152211,6365,26,26,26,26,26,26,25,25,26,1083,1066,1135,1140,1150,1155,1131,1131,1080,6.9,6.85,6.88,7.23,6.59,7.18,6.46,6.23,6.9,55.7,60.2,60.1,59.5,52.6,57.9,52.1,49.3,53.4,9,10,6.9,5.3,5.3,3.2,5,5.1,8.7
중구,5231,0.609443701,4954,0.593863545,4584,0.669284468,4184,0.681405354,4030,0.664764268,4327,0.648024035,3411,0.681031955,2861,0.7242223,3071,0.690003256,77,236,240,372,386,155,361,403,137,136227,13677,134329,13486,134409,13494,134593,13514,135633,13618,136488,13704,134635,13517,131787,13231,130785,13131,20,20,21,20,20,20,20,20,19,985,957,1019,1029,1040,1040,1017,1021,1019,6.56,6.76,6.75,6.99,6.47,6.48,6.44,6.35,6.44,61.2,60.2,59.5,54.4,60.4,54.4,39.2,48.3,53.8,8.6,11.2,7,5.2,3.2,2.4,3.3,9.7,7.7
용산구,3799,0.615951566,3820,0.65,4137,0.685279188,4060,0.723152709,3411,0.74552917,3313,0.788107455,2969,0.692489054,2381,0.696766065,2967,0.705426357,68,83,295,491,115,322,623,422,464,249914,11428,247909,11337,245102,11209,244444,11179,245090,11209,245185,11213,244645,11188,237285,10852,233284,10668,13,13,13,13,13,13,13,13,13,655,664,714,711,701,712,703,719,806,6.72,6.73,6.69,6.93,7.67,6.28,6.3,6.13,6.5,57.6,57.3,54.7,54.6,57.8,55,44.4,52.2,52.6,9.5,4.3,6.2,5.7,2.1,2.1,2.4,6.4,3.6
성동구,3582,0.571747627,3358,0.63222156,3026,0.790482485,2767,0.734007951,2457,0.727309727,2512,0.731687898,2362,0.751058425,2112,0.714962121,2194,0.727894257,110,366,281,942,457,643,485,367,232,303891,18028,305065,18093,307161,18218,312711,18551,316463,18771,308979,18327,300505,17822,292672,17359,288234,17136,16,16,16,16,16,16,16,16,16,613,627,656,651,651,642,627,641,649,6.9,6.83,6.9,6.91,6.89,6.71,6.38,6.28,6.99,64.8,62.7,61.5,65.4,64.6,60.5,58.8,51.7,55.4,9.1,4.4,7.2,5.1,6.1,7.5,4.9,8.5,6.9
광진구,6268,0.563337588,5909,0.627348113,5322,0.622322435,4646,0.707920792,3915,0.71238825,4011,0.702069309,3601,0.697306304,3087,0.713313897,3619,0.690245924,176,95,40,666,460,712,190,738,273,377375,22117,375180,21987,372104,21807,372298,21819,371063,21746,366972,21507,360109,21105,352627,20666,351252,20586,11,11,11,12,13,13,13,13,13,653,647,679,697,712,724,729,745,751,6.74,6.81,6.87,6.82,7.09,6.94,6.38,6.38,6.53,56,63,62.9,61.7,61.5,59.9,52,55.1,58.9,7.5,10.8,9.5,10.2,6.5,6.6,8,7.9,8.4
동대문구,4363,0.660554664,4720,0.679025424,4787,0.756841446,3975,0.823647799,3680,0.806521739,3692,0.763271939,3401,0.724786827,2959,0.714092599,3253,0.685828466,5,72,774,702,201,218,229,229,317,376319,26481,373824,26301,370312,26050,366011,25748,364338,25630,363023,25537,357014,25114,352006,24762,353601,24873,23,23,22,22,21,21,21,21,21,760,758,795,817,823,826,824,837,837,6.82,6.75,6.71,6.68,6.78,6.8,6.44,6.24,6.76,62.8,67.1,64.2,63.4,58.3,59.7,50.4,50.8,54.5,9.7,7.7,8.1,7.9,2.1,8.4,4.5,3.4,3.2
중랑구,5353,0.608817486,5193,0.655690352,5041,0.780599087,4571,0.742069569,4288,0.751399254,4268,0.735238988,3726,0.746376812,3210,0.749221184,3599,0.742150597,104,145,153,170,215,1074,976,507,294,423411,22892,418620,22633,415677,22474,412780,22318,408147,22067,402024,21736,399562,21603,391885,21188,390140,21092,19,19,19,19,18,18,18,18,18,715,721,769,748,767,764,756,776,781,7.04,6.89,6.82,6.97,7.02,6.44,6.55,6.32,6.92,61.8,62.3,62.5,63.5,59.6,57.4,56.5,51.5,57.6,11.3,10.5,7.9,9.9,6,7.7,7.7,4.6,6.2
성북구,4606,0.657403387,4154,0.65695715,3744,0.713675214,3434,0.72189866,3042,0.74852071,2877,0.807438304,2567,0.758472926,2411,0.74118623,2749,0.773008367,229,322,594,811,867,714,253,407,338,475961,19366,469560,19104,461617,18781,455407,18533,447687,18218,454744,18505,447056,18190,440142,17909,441984,17983,26,26,26,26,26,26,26,26,26,923,908,951,977,979,961,937,930,940,6.73,6.83,6.86,6.96,7.04,6.95,6.65,6.19,6.95,59.8,61.2,60.9,63,63.4,59.4,53.8,49.4,56.3,7.7,6,6.9,8,7.3,7.6,8.5,8.8,7.4
강북구,4030,0.696277916,4257,0.73126615,4229,0.785764956,3393,0.832301798,3437,0.798079721,3838,0.787649818,2770,0.815523466,2301,0.830943068,2832,0.827330508,16,68,210,4,375,963,569,298,797,338410,14341,334426,14172,330704,14015,328002,13898,322915,13683,317695,13462,311569,13202,302563,12820,297702,12614,16,16,16,16,15,15,15,15,15,621,617,670,667,672,671,668,679,691,6.53,6.85,6.8,7.11,6.75,7.11,6.57,6.18,6.52,57.5,57.1,59.9,59.4,55.2,57,50.1,53.7,52.2,9.2,7.2,7.5,8.6,5.7,6.4,6.7,5.5,4.5
도봉구,3124,0.635723431,2664,0.713213213,2438,0.791632486,1999,0.826413207,2249,0.745220098,2110,0.709478673,2179,0.683799908,1860,0.695698925,2141,0.732835124,54,27,91,116,183,195,179,592,591,355712,17183,353241,17056,350272,16948,346234,16752,341649,16531,335631,16245,327361,15852,319373,15465,313989,15205,11,11,11,11,10,10,10,10,10,526,529,540,563,578,561,567,567,574,6.66,6.78,6.66,7.22,7.01,6.89,6.48,6.06,6.62,60.3,62.1,59.5,61.3,62.5,57.5,51.9,49.6,50.2,7,9.1,8.6,6.7,6,4.5,5.5,7,7.5
