자치구,14'발생,14'검거율,15'발생,15'검거율,16'발생,16'검거율,17'발생,17'검거율,18'발생,18'검거율,19'발생,19'검거율,20'발생,20'검거율,21'발생,21'검거율,22'발생,22'검거율,14'cctv,15'cctv,16'cctv,17'cctv,18'cctv,19'cctv,20'cctv,21'cctv,22'cctv,14'인구,14'인구밀도 ,15'인구,15'인구밀도,16'인구,16'인구밀도,17'인구,17'인구밀도,18'인구,18'인구밀도,19'인구,19'인구밀도,20'인구,20'인구밀도,21'인구,21'인구밀도,22'인구,22'인구밀도,14'보류,15'보류,16'보류,17'보류,18'보류,19'보류,20'보류,21'보류,22'보류,14'경찰관,15'경찰관,16'경찰관,17'경찰관,18'경찰관,19'경찰관,20'경찰관,21'경찰관,22'경찰관
종로구,5021,0.9181437960565625,4705,0.9415515409139213,4459,0.9638932496075353,4057,1.0936652699038698,3690,1.0604336043360434,3846,1.0704628185127405,3102,1.077691811734365,2712,1.0158554572271385,3138,1.0465264499681326,103,160,130,144,150,67,233,88,207,165344,6914,163822,6851,161922,6771,164257,6869,163026,6817,161869,6769,158996,6649,153789,6431,152211,6365,26,26,26,26,26,26,25,25,26,1083,1066,1135,1140,1150,1155,1131,1131,1080
중구,5231,0.6094437010131906,4954,0.5938635446104158,4584,0.6692844677137871,4184,0.6814053537284895,4030,0.6647642679900745,4327,0.6480240351282643,3411,0.6810319554382879,2861,0.7242222998951415,3071,0.6900032562683165,77,236,240,372,386,155,361,403,137,136227,13677,134329,13486,134409,13494,134593,13514,135633,13618,136488,13704,134635,13517,131787,13231,130785,13131,20,20,21,20,20,20,20,20,19,985,957,1019,1029,1040,1040,1017,1021,1019
용산구,3799,0.615951566201632,3820,0.65,4137,0.6852791878172588,4060,0.723152709359606,3411,0.7455291703312812,3313,0.7881074554784183,2969,0.692489053553385,2381,0.6967660646787064,2967,0.7054263565891473,68,83,295,491,115,322,623,422,464,249914,11428,247909,11337,245102,11209,244444,11179,245090,11209,245185,11213,244645,11188,237285,10852,233284,10668,13,13,13,13,13,13,13,13,13,655,664,714,711,701,712,703,719,806
성동구,3582,0.5717476270240089,3358,0.6322215604526504,3026,0.790482485128883,2767,0.7340079508492953,2457,0.7273097273097273,2512,0.731687898089172,2362,0.7510584250635055,2112,0.7149621212121212,2194,0.727894257064722,110,366,281,942,457,643,485,367,232,303891,18028,305065,18093,307161,18218,312711,18551,316463,18771,308979,18327,300505,17822,292672,17359,288234,17136,16,16,16,16,16,16,16,16,16,613,627,656,651,651,642,627,641,649
광진구,6268,0.5633375877472878,5909,0.6273481130478931,5322,0.6223224351747464,4646,0.7079207920792079,3915,0.7123882503192848,4011,0.7020693093991524,3601,0.6973063038044988,3087,0.7133138969873664,3619,0.6902459242884775,176,95,40,666,460,712,190,738,273,377375,22117,375180,21987,372104,21807,372298,21819,371063,21746,366972,21507,360109,21105,352627,20666,351252,20586,11,11,11,12,13,13,13,13,13,653,647,679,697,712,724,729,745,751
동대문구,4363,0.6605546642218657,4720,0.6790254237288136,4787,0.756841445581784,3975,0.8236477987421383,3680,0.8065217391304348,3692,0.7632719393282773,3401,0.7247868274037048,2959,0.7140925988509632,3253,0.6858284660313557,5,72,774,702,201,218,229,229,317,376319,26481,373824,26301,370312,26050,366011,25748,364338,25630,363023,25537,357014,25114,352006,24762,353601,24873,23,23,22,22,21,21,21,21,21,760,758,795,817,823,826,824,837,837
중랑구,5353,0.6088174855221371,5193,0.6556903523974581,5041,0.7805990874826423,4571,0.7420695690220959,4288,0.7513992537313433,4268,0.7352389878163074,3726,0.7463768115942029,3210,0.7492211838006231,3599,0.7421505973881634,104,145,153,170,215,1074,976,507,294,423411,22892,418620,22633,415677,22474,412780,22318,408147,22067,402024,21736,399562,21603,391885,21188,390140,21092,19,19,19,19,18,18,18,18,18,715,721,769,748,767,764,756,776,781
성북구,4606,0.6574033868866695,4154,0.656957149735195,3744,0.7136752136752137,3434,0.7218986604542807,3042,0.7485207100591716,2877,0.8074383037886688,2567,0.7584729255940786,2411,0.7411862297801742,2749,0.7730083666787922,229,322,594,811,867,714,253,407,338,475961,19366,469560,19104,461617,18781,455407,18533,447687,18218,454744,18505,447056,18190,440142,17909,441984,17983,26,26,26,26,26,26,26,26,26,923,908,951,977,979,961,937,930,940
강북구,4030,0.6962779156327543,4257,0.7312661498708011,4229,0.7857649562544337,3393,0.8323017978190392,3437,0.7980797206866453,3838,0.7876498176133403,2770,0.8155234657039712,2301,0.8309430682312038,2832,0.8273305084745762,16,68,210,4,375,963,569,298,797,338410,14341,334426,14172,330704,14015,328002,13898,322915,13683,317695,13462,311569,13202,302563,12820,297702,12614,16,16,16,16,15,15,15,15,15,621,617,670,667,672,671,668,679,691
도봉구,3124,0.6357234314980794,2664,0.7132132132132132,2438,0.7916324856439705,1999,0.8264132066033016,2249,0.7452200978212539,2110,0.709478672985782,2179,0.6837999082147774,1860,0.6956989247311828,2141,0.7328351237739374,54,27,91,116,183,195,179,592,591,355712,17183,353241,17056,350272,16948,346234,16752,341649,16531,335631,16245,327361,15852,319373,15465,313989,15205,11,11,11,11,10,10,10,10,10,526,529,540,563,578,561,567,567,574
